rank_today;tier;action;Beteckn;Kommun;status;priority_class;score;Inkomdatum;days_left;valid_until;AnmaldHa;area_ha_geom;Avverktyp;Skogstyp;new_since_last_run;needs_survey;survey_reasons;annex4_inside;protected_plant_inside;priobird_inside;threatened_inside;n_key_species_inside;n_key_species_500;nyckelbiotop_share;hcvf_mean;noble_share;tall_share;natura2000_dist_m;natura2000_nearest;reserve_dist_m;reserve_nearest;species_inside;species_within_150;x_sweref;y_sweref;lon;lat
104;3;"Bevaka; begär tillsyn om avverkning inte skett";A 680-2026;ÅTVIDABERG;Avverkning tillåten: äldre anmälan;Mycket hög;178.1;2026-01-07;-200;2031-01-06;1.1;1.14806536554554;Föryngringsavverkning;Normal skog;FALSE;TRUE;"art i bilaga IV inom 150 m (4 a §); rödlistad/bilaga IV-fridlyst art inom området (6/8 §); prioriterad fågelart inom området (4 §); hotad art (CR/EN/VU) inom området; hög skog >= 20 m på 96 %";0;1;2;1;8;19;9.31396857521279e-05;61.4;0;0.962;727;Storån vid Falerum;887;Ekhultebergen;"Hepatica nobilis (blåsippa, LC, fridlyst, 2026); Goodyera repens (knärot, VU, fridlyst, 2026); Dryocopus martius (spillkråka, LC, prio. fågel, 2026); Poecile palustris (entita, NT, prio. fågel, 2026); Oxyporus corticola (barkticka, LC, 2026); Crossocalyx hellerianus (vedtrappmossa, NT, 2026); Phellinidium ferrugineofuscum (ullticka, NT, 2026); Phlebia serialis (kådvaxskinn, NT, 2026)";"Rana arvalis (åkergroda, LC, bil. IV, fridlyst, 2026); Haliaeetus albicilla (havsörn, LC, prio. fågel, 2026); Poecile montanus (talltita, NT, prio. fågel, 2026)";571392;6446357;16.21301;58.15274
105;3;"Bevaka; begär tillsyn om avverkning inte skett";A 30637-2022;MOTALA;Avverkning tillåten: äldre anmälan;Mycket hög;171.1;2022-07-21;-1466;2027-07-20;4.9;5.05360801495054;Avverkning för att bevara och utveckla /försöksver;Normal skog;FALSE;TRUE;"rödlistad/bilaga IV-fridlyst art inom området (6/8 §); prioriterad fågelart inom området (4 §); hotad art (CR/EN/VU) inom området; hög skoglig naturvärdessannolikhet (HCVF 76); hög skog >= 20 m på 98 %";0;1;7;1;13;81;0;76.5;0;0.979;1707;Göta Kanal (Vättern-Roxen);2200;Vålberga mosse;"Hepatica nobilis (blåsippa, LC, fridlyst, 2020); Goodyera repens (knärot, VU, fridlyst, 2024); Dryocopus martius (spillkråka, LC, prio. fågel, 2026); Haliaeetus albicilla (havsörn, LC, prio. fågel, 2026); Dryobates minor (mindre hackspett, NT, prio. fågel, 2025); Motacilla alba (sädesärla, NT, prio. fågel, 2026); Nucifraga caryocatactes (nötkråka, NT, prio. fågel, 2019); Poecile montanus (talltita, NT, prio. fågel, 2026); Turdus iliacus (rödvingetrast, NT, prio. fågel, 2024); Dicranodontium denudatum (skuggmossa, LC, 2020); Hygrocybe coccinea (blodvaxing, LC, 2020); Hygrocybe punicea (scharlakansvaxing, NT, 2020)";"Poecile palustris (entita, NT, prio. fågel, 2024); Prunella modularis (järnsparv, NT, prio. fågel, 2026); Fraxinus excelsior (ask, EN, 2020); Ulmus glabra (skogsalm, EN, 2022); Alleniella complanata (platt fjädermossa, LC, 2020); Antitrichia curtipendula (fällmossa, LC, 2020); Arthonia vinosa (rostfläck, LC, 2020); Homalothecium sericeum (guldlockmossa, LC, 2020); Lejeunea cavifolia (blåsfliksmossa, LC, 2020); Porella platyphylla (trädporella, LC, 2020); Astur gentilis (duvhök, NT, 2026); Acrocephalus scirpaceus (rörsångare, NT, 2026)";517503;6491464;15.30085;58.56329
106;3;"Bevaka; begär tillsyn om avverkning inte skett";A 34703-2025;ÅTVIDABERG;Avverkning tillåten: äldre anmälan;Mycket hög;170;2025-07-10;-381;2030-07-09;6;6.03505682729054;Föryngringsavverkning;Normal skog;FALSE;TRUE;"art i bilaga IV inom området (4 a §); rödlistad/bilaga IV-fridlyst art inom området (6/8 §); prioriterad fågelart inom området (4 §); hotad art (CR/EN/VU) inom området; hög skog >= 20 m på 97 %";1;2;4;1;13;22;0.0431960974798038;31.7;0;0.966;3126;Åtvidsnäs;3030;Tarant;"Buxbaumia viridis (grön sköldmossa, LC, bil. IV, fridlyst, 2026); Goodyera repens (knärot, VU, fridlyst, 2026); Dryocopus martius (spillkråka, LC, prio. fågel, 2025); Tetrao urogallus (tjäder, LC, prio. fågel, 2026); Glaucidium passerinum (sparvuggla, NT, prio. fågel, 2025); Poecile montanus (talltita, NT, prio. fågel, 2025); Microbregma emarginatum (granbarkgnagare, LC, 2026); Odontoschisma denudatum (kornknutmossa, LC, 2025); Cladonia parasitica (dvärgbägarlav, NT, 2026); Hertelidea botryosa (vedskivlav, NT, 2025); Phellinidium ferrugineofuscum (ullticka, NT, 2025); Porodaedalea pini (tallticka, NT, 2026)";"Alleniella complanata (platt fjädermossa, LC, 2026); Antitrichia curtipendula (fällmossa, LC, 2026); Homalothecium sericeum (guldlockmossa, LC, 2026); Phaeolus schweinitzii (grovticka, LC, 2026); Acolium inquinans (sotlav, LC, 2026); Herzogiella seligeri (stubbspretmossa, LC, 2026); Microcalicium ahlneri (kortskaftad ärgspik, NT, 2025)";562617;6453715;16.06592;58.22014
107;3;"Bevaka; begär tillsyn om avverkning inte skett";A 44688-2025;NORRKÖPING;Avverkning tillåten: äldre anmälan;Mycket hög;169.9;2025-09-17;-312;2030-09-16;3.7;4.92029363498936;Föryngringsavverkning;Normal skog;FALSE;TRUE;"art i bilaga IV inom området (4 a §); rödlistad/bilaga IV-fridlyst art inom området (6/8 §); hotad art (CR/EN/VU) inom området; hög skoglig naturvärdessannolikhet (HCVF 80); hög skog >= 20 m på 94 %";1;2;0;2;12;23;0;80.1;0;0.936;614;Glotternskogen;430;Glotternskogen;"Buxbaumia viridis (grön sköldmossa, LC, bil. IV, fridlyst, 2025); Goodyera repens (knärot, VU, fridlyst, 2025); Dicranum flagellare (flagellkvastmossa, LC, 2025); Phaeolus schweinitzii (grovticka, LC, 2025); Pyrola chlorantha (grönpyrola, LC, 2025); Sparassis crispa (blomkålssvamp, LC, 2025); Hydnellum aurantiacum (orange taggsvamp, NT, 2025); Hydnellum ferrugineum (dropptaggsvamp, NT, 2025); Phellodon niger (svart taggsvamp, NT, 2025); Porodaedalea pini (tallticka, NT, 2025); Sarcodon squamosus (motaggsvamp, NT, 2025); Phellopilus nigrolimitatus (gränsticka, VU, 2025)";"Hepatica nobilis (blåsippa, LC, fridlyst, 2022); Antitrichia curtipendula (fällmossa, LC, 2026); Hertelidea botryosa (vedskivlav, NT, 2026)";567675;6507722;16.16797;58.70436
108;3;"Bevaka; begär tillsyn om avverkning inte skett";A 55104-2025;NORRKÖPING;Avverkning tillåten: äldre anmälan;Mycket hög;168.6;2025-11-07;-261;2030-11-06;14.6;14.5823212318259;Föryngringsavverkning;Normal skog;FALSE;TRUE;"rödlistad/bilaga IV-fridlyst art inom området (6/8 §); hotad art (CR/EN/VU) inom området; nyckelbiotop överlappar; hög skoglig naturvärdessannolikhet (HCVF 74); ädellövskog 64 %; hög skog >= 20 m på 53 %";0;1;0;1;3;8;0.741493679500324;74.5;0.644;0.531;657;Stora Rimmö;657;Stora Rimmö;"Hepatica nobilis (blåsippa, LC, fridlyst, 2018); Dactylorhiza sambucina (Adam och Eva, NT, fridlyst, 2026); Fraxinus excelsior (ask, EN, 2018)";"Ulmus glabra (skogsalm, EN, 2018); Hesperia comma (silversmygare, NT, 2018)";604041;6478540;16.78195;58.43517
109;3;"Bevaka; begär tillsyn om avverkning inte skett";A 14950-2026;KINDA;Avverkning tillåten: äldre anmälan;Mycket hög;167.7;2026-03-23;-125;2031-03-22;5.7;5.73840815594168;Föryngringsavverkning;Normal skog;FALSE;TRUE;"art i bilaga IV inom området (4 a §); rödlistad/bilaga IV-fridlyst art inom området (6/8 §); prioriterad fågelart inom området (4 §); hotad art (CR/EN/VU) inom området; hög skog >= 20 m på 91 %";1;2;1;1;9;12;0;48.9;0.002;0.91;903;Jonsbo;6565;Boda;"Buxbaumia viridis (grön sköldmossa, LC, bil. IV, fridlyst, 2026); Hepatica nobilis (blåsippa, LC, fridlyst, 2026); Zootoca vivipara (skogsödla, LC, fridlyst, 2026); Goodyera repens (knärot, VU, fridlyst, 2026); Dryocopus martius (spillkråka, LC, prio. fågel, 2026); Antitrichia curtipendula (fällmossa, LC, 2026); Pyrola chlorantha (grönpyrola, LC, 2026); Lathyrus vernus (vårärt, NT, 2026); Porodaedalea pini (tallticka, NT, 2026)";"";546667;6424585;15.78865;57.9605
110;3;"Bevaka; begär tillsyn om avverkning inte skett";A 17462-2026;NORRKÖPING;Avverkning tillåten: äldre anmälan;Mycket hög;166.3;2026-04-08;-109;2031-04-07;2;2.3032986100055;Föryngringsavverkning;Normal skog;FALSE;TRUE;"rödlistad/bilaga IV-fridlyst art inom området (6/8 §); prioriterad fågelart inom området (4 §); hotad art (CR/EN/VU) inom området; hög skoglig naturvärdessannolikhet (HCVF 72); hög skog >= 20 m på 94 %";0;1;1;1;6;40;0;72.3;0;0.943;1150;Skriketorpsravinen;118;Glotternskogen;"Hepatica nobilis (blåsippa, LC, fridlyst, 2026); Goodyera repens (knärot, VU, fridlyst, 2026); Dryocopus martius (spillkråka, LC, prio. fågel, 2026); Alleniella complanata (platt fjädermossa, LC, 2026); Antitrichia curtipendula (fällmossa, LC, 2026); Rhytidiadelphus loreus (västlig hakmossa, LC, 2026)";"Sarcosoma globosum (bombmurkla, EN, fridlyst, 2024); Leucobryum glaucum (blåmossa, LC, 2026); Pyrola chlorantha (grönpyrola, LC, 2024); Sparassis crispa (blomkålssvamp, LC, 2020); Frullania tamarisci (klippfrullania, LC, 2026); Hertelidea botryosa (vedskivlav, NT, 2026); Hypogymnia vittata (skuggblåslav, NT, 2026); Phellinidium ferrugineofuscum (ullticka, NT, 2026)";568021;6505797;16.17336;58.68701
111;3;"Bevaka; begär tillsyn om avverkning inte skett";A 45686-2025;KINDA;Avverkning tillåten: äldre anmälan;Mycket hög;161;2025-09-23;-306;2030-09-22;24.1;24.0629247899825;Avverkning för annat ändamål;Ädellövskog;FALSE;TRUE;"rödlistad/bilaga IV-fridlyst art inom 150 m (6/8 §, buffertzon); prioriterad fågelart inom området (4 §); hotad art (CR/EN/VU) inom området; ädellövskog 23 %; Natura 2000 inom 14 m (Föllingsö)";0;0;6;8;27;89;0;51.5;0.23;0.396;14;Föllingsö;5545;Krogsfall;"Platanthera bifolia (nattviol, LC, fridlyst, 2023); Lanius collurio (törnskata, LC, prio. fågel, 2024); Emberiza citrinella (gulsparv, NT, prio. fågel, 2025); Glaucidium passerinum (sparvuggla, NT, prio. fågel, 2008); Jynx torquilla (göktyta, NT, prio. fågel, 2024); Prunella modularis (järnsparv, NT, prio. fågel, 2021); Apus apus (tornseglare, VU, prio. fågel, 2024); Fraxinus excelsior (ask, EN, 2023); Riparia riparia (backsvala, EN, 2021); Actaea spicata (svart trolldruva, LC, 2022); Antitrichia curtipendula (fällmossa, LC, 2022); Sarcoscypha austriaca (scharlakansskål, LC, 2022)";"Lucanus cervus (ekoxe, LC, fridlyst, 2026); Platanthera chlorantha (grönvit nattviol, LC, fridlyst, 2026); Dactylorhiza maculata (fläcknycklar, LC, fridlyst, 2026); Cygnus cygnus (sångsvan, LC, prio. fågel, 2022); Dryocopus martius (spillkråka, LC, prio. fågel, 2025); Grus grus (trana, LC, prio. fågel, 2024); Motacilla alba (sädesärla, NT, prio. fågel, 2021); Sturnus vulgaris (stare, VU, prio. fågel, 2021); Ulmus glabra (skogsalm, EN, 2022); Acolium inquinans (sotlav, LC, 2022); Bacidia rubella (lönnlav, LC, 2025); Anthemis arvensis (åkerkulla, NT, 2022)";535361;6427225;15.598;57.98526
112;3;"Bevaka; begär tillsyn om avverkning inte skett";A 50388-2022;SÖDERKÖPING;Avverkning tillåten: äldre anmälan;Mycket hög;158.8;2022-11-01;-1363;2027-10-31;10.8;10.7709034900223;Föryngringsavverkning;Normal skog;FALSE;TRUE;"rödlistad/bilaga IV-fridlyst art inom området (6/8 §); prioriterad fågelart inom området (4 §); hotad art (CR/EN/VU) inom området; hög skoglig naturvärdessannolikhet (HCVF 88); hög skog >= 20 m på 86 %; Natura 2000 inom 0 m (Flatmossen)";0;1;1;1;7;25;0.00196180789605493;87.9;0.001;0.86;0;Flatmossen;603;Ängelholm;"Hepatica nobilis (blåsippa, LC, fridlyst, 2022); Goodyera repens (knärot, VU, fridlyst, 2022); Poecile montanus (talltita, NT, prio. fågel, 2022); Phaeolus schweinitzii (grovticka, LC, 2022); Pyrola chlorantha (grönpyrola, LC, 2022); Hertelidea botryosa (vedskivlav, NT, 2022); Hydnellum ferrugineum (dropptaggsvamp, NT, 2022)";"Alleniella complanata (platt fjädermossa, LC, 2022); Antitrichia curtipendula (fällmossa, LC, 2022); Herzogiella seligeri (stubbspretmossa, LC, 2022); Odontoschisma denudatum (kornknutmossa, LC, 2022); Fomitiporia robusta (ekticka, NT, 2022); Cladonia parasitica (dvärgbägarlav, NT, 2022); Felipes leucopellaeus (kattfotslav, NT, 2022); Porodaedalea pini (tallticka, NT, 2022); Sanicula europaea (sårläka, NT, 2022); Sarcodon squamosus (motaggsvamp, NT, 2022)";603798;6460932;16.76987;58.27716
113;3;"Bevaka; begär tillsyn om avverkning inte skett";A 45509-2025;NORRKÖPING;Avverkning tillåten: äldre anmälan;Mycket hög;158.8;2025-09-22;-307;2030-09-21;2.1;2.83336806499818;Föryngringsavverkning;Normal skog;FALSE;TRUE;"rödlistad/bilaga IV-fridlyst art inom området (6/8 §); prioriterad fågelart inom området (4 §); hotad art (CR/EN/VU) inom området; hög skoglig naturvärdessannolikhet (HCVF 85); hög skog >= 20 m på 86 %";0;1;1;1;7;32;0;84.7;0;0.86;1515;Glotternskogen;0;Glotternskogen;"Hepatica nobilis (blåsippa, LC, fridlyst, 2026); Natrix natrix (vanlig snok, LC, fridlyst, 2025); Goodyera repens (knärot, VU, fridlyst, 2026); Actitis hypoleucos (drillsnäppa, NT, prio. fågel, 2026); Alleniella complanata (platt fjädermossa, LC, 2026); Antitrichia curtipendula (fällmossa, LC, 2026); Hydnellum ferrugineum (dropptaggsvamp, NT, 2025)";"Dryocopus martius (spillkråka, LC, prio. fågel, 2026); Poecile montanus (talltita, NT, prio. fågel, 2026); Hydnellum aurantiacum (orange taggsvamp, NT, 2025); Phellinidium ferrugineofuscum (ullticka, NT, 2026); Porodaedalea pini (tallticka, NT, 2026); Sarcodon squamosus (motaggsvamp, NT, 2025)";568256;6506267;16.17755;58.69119
114;3;"Bevaka; begär tillsyn om avverkning inte skett";A 24615-2025;NORRKÖPING;Avverkning tillåten: äldre anmälan;Mycket hög;157.3;2025-05-21;-431;2030-05-20;10.8;11.3058877750078;Föryngringsavverkning;Normal skog;FALSE;TRUE;"rödlistad/bilaga IV-fridlyst art inom området (6/8 §); prioriterad fågelart inom området (4 §); hotad art (CR/EN/VU) inom området; hög skog >= 20 m på 86 %";0;1;3;3;18;74;0;60.8;0.004;0.858;4409;Mjälnäs sumpskog;4370;Rövareberget;"Goodyera repens (knärot, VU, fridlyst, 2025); Dryocopus martius (spillkråka, LC, prio. fågel, 2025); Poecile montanus (talltita, NT, prio. fågel, 2025); Apus apus (tornseglare, VU, prio. fågel, 2025); Hydnellum concrescens (zontaggsvamp, LC, 2024); Odontoschisma denudatum (kornknutmossa, LC, 2025); Pyrola chlorantha (grönpyrola, LC, 2025); Sparassis crispa (blomkålssvamp, LC, 2025); Hertelidea botryosa (vedskivlav, NT, 2025); Hydnellum aurantiacum (orange taggsvamp, NT, 2025); Hydnellum caeruleum (blå taggsvamp, NT, 2025); Hydnellum ferrugineum (dropptaggsvamp, NT, 2025)";"Lycopodium clavatum (mattlummer, LC, fridlyst, 2025); Platanthera chlorantha (grönvit nattviol, LC, fridlyst, 2020); Dryobates minor (mindre hackspett, NT, prio. fågel, 2025); Chloris chloris (grönfink, VU, prio. fågel, 2026); Agrostemma githago (klätt, EN, 2026); Scolytus ratzeburgii (björksplintborre, LC, 2025); Daphne mezereum (tibast, LC, 2026); Phaeolus schweinitzii (grovticka, LC, 2025); Tomicus minor (mindre märgborre, LC, 2025); Carbonicola anthracophila (kolflarnlav, NT, 2025); Cladonia parasitica (dvärgbägarlav, NT, 2025); Phellodon melaleucus (svartvit taggsvamp, NT, 2025)";566311;6516712;16.14709;58.78529
115;3;"Bevaka; begär tillsyn om avverkning inte skett";A 31894-2022;FINSPÅNG;Avverkning tillåten: äldre anmälan;Mycket hög;155.7;2022-08-04;-1452;2027-08-03;3.8;3.70449032045146;Avverkning för att bevara och utveckla /försöksver;Normal skog;FALSE;TRUE;"art i bilaga IV inom området (4 a §); rödlistad/bilaga IV-fridlyst art inom området (6/8 §); prioriterad fågelart inom området (4 §)";1;1;4;0;8;71;0;64.7;0.121;0.383;2980;Prästängsuddens lövskog;2980;Prästängsuddens lövskog;"Rana arvalis (åkergroda, LC, bil. IV, fridlyst, 2025); Bufo bufo (vanlig padda, LC, fridlyst, 2025); Emberiza schoeniclus (sävsparv, LC, prio. fågel, 2025); Grus grus (trana, LC, prio. fågel, 2025); Anas crecca (kricka, NT, prio. fågel, 2025); Gallinago gallinago (enkelbeckasin, NT, prio. fågel, 2025); Hygrocybe reidii (honungsvaxing, LC, 2023); Eptesicus nilssonii (nordfladdermus, NT, 2025)";"Anguis fragilis (kopparödla, LC, fridlyst, 2024); Hepatica nobilis (blåsippa, LC, fridlyst, 2024); Natrix natrix (vanlig snok, LC, fridlyst, 2024); Platanthera bifolia (nattviol, LC, fridlyst, 2025); Platanthera chlorantha (grönvit nattviol, LC, fridlyst, 2024); Dryocopus martius (spillkråka, LC, prio. fågel, 2026); Haliaeetus albicilla (havsörn, LC, prio. fågel, 2026); Milvus milvus (röd glada, LC, prio. fågel, 2023); Pandion haliaetus (fiskgjuse, LC, prio. fågel, 2026); Pinicola enucleator (tallbit, LC, prio. fågel, 2024); Cygnus cygnus (sångsvan, LC, prio. fågel, 2024); Dryobates minor (mindre hackspett, NT, prio. fågel, 2026)";549007;6531740;15.85111;58.92255
116;3;"Bevaka; begär tillsyn om avverkning inte skett";A 57690-2022;FINSPÅNG;Avverkning tillåten: äldre anmälan;Mycket hög;149;2022-12-02;-1332;2027-12-01;15.1;15.7373990349756;Avverkning för att bevara och utveckla /försöksver;Ädellövskog;FALSE;TRUE;"allmän fridlyst art (t.ex. orkidé) inom 150 m, ej utlösande; prioriterad fågelart inom området (4 §); hotad art (CR/EN/VU) inom området; hög skoglig naturvärdessannolikhet (HCVF 74); ädellövskog 75 %; hög skog >= 20 m på 68 %";0;0;2;2;11;25;0;74.2;0.746;0.68;5904;Ölstadsjön;575;Torstorpeskogen;"Hepatica nobilis (blåsippa, LC, fridlyst, 2025); Dryocopus martius (spillkråka, LC, prio. fågel, 2025); Haliaeetus albicilla (havsörn, LC, prio. fågel, 2025); Lathraea squamaria (vätteros, LC, 2021); Eptesicus nilssonii (nordfladdermus, NT, 2021); Fomitiporia robusta (ekticka, NT, 2025); Lathyrus vernus (vårärt, NT, 2021); Lobaria pulmonaria (lunglav, NT, 2025); Myotis nattereri (fransfladdermus, NT, 2021); Zygaena filipendulae (sexfläckig bastardsvärmare, VU, 2025); Zygaena viciae (mindre bastardsvärmare, VU, 2025)";"Fraxinus excelsior (ask, EN, 2019); Acolium inquinans (sotlav, LC, 2025); Galeopsis ladanum (mjukdån, NT, 2019); Plecotus auritus (brunlångöra, NT, 2021); Polygala vulgaris (jungfrulin, NT, 2021); Boloria selene (brunfläckig pärlemorfjäril, VU, 2007)";541649;6507787;15.71886;58.70822
117;3;"Bevaka; begär tillsyn om avverkning inte skett";A 11109-2025;NORRKÖPING;Avverkning tillåten: äldre anmälan;Mycket hög;148.5;2025-03-07;-506;2030-03-06;7.7;8.49958866500057;Föryngringsavverkning;Normal skog;FALSE;TRUE;"rödlistad/bilaga IV-fridlyst art inom området (6/8 §); prioriterad fågelart inom området (4 §); hotad art (CR/EN/VU) inom området; hög skog >= 20 m på 78 %";0;1;2;1;7;55;0;50.3;0;0.776;986;Glotternskogen;986;Glotternskogen;"Hepatica nobilis (blåsippa, LC, fridlyst, 2026); Goodyera repens (knärot, VU, fridlyst, 2026); Dryocopus martius (spillkråka, LC, prio. fågel, 2026); Poecile montanus (talltita, NT, prio. fågel, 2026); Leucobryum glaucum (blåmossa, LC, 2025); Hertelidea botryosa (vedskivlav, NT, 2025); Sarcodon squamosus (motaggsvamp, NT, 2025)";"Anguis fragilis (kopparödla, LC, fridlyst, 2026); Caprimulgus europaeus (nattskärra, LC, prio. fågel, 2026); Prunella modularis (järnsparv, NT, prio. fågel, 2026); Poecile palustris (entita, NT, prio. fågel, 2026); Chloris chloris (grönfink, VU, prio. fågel, 2026); Sturnus vulgaris (stare, VU, prio. fågel, 2026); Alleniella complanata (platt fjädermossa, LC, 2025); Antitrichia curtipendula (fällmossa, LC, 2026); Homalia trichomanoides (trubbfjädermossa, LC, 2025); Homalothecium sericeum (guldlockmossa, LC, 2026); Scolytus ratzeburgii (björksplintborre, LC, 2025); Hydnellum ferrugineum (dropptaggsvamp, NT, 2026)";567409;6509871;16.16403;58.72369
118;3;"Bevaka; begär tillsyn om avverkning inte skett";A 21683-2025;NORRKÖPING;Avverkning tillåten: äldre anmälan;Mycket hög;147.9;2025-05-06;-446;2030-05-05;1.8;1.8791180460461;Föryngringsavverkning;Normal skog;FALSE;TRUE;"rödlistad/bilaga IV-fridlyst art inom området (6/8 §); prioriterad fågelart inom området (4 §); hotad art (CR/EN/VU) inom området; hög skog >= 20 m på 100 %";0;1;1;2;10;57;0;68.1;0;1;4675;Mjälnäs sumpskog;4570;Rövareberget;"Goodyera repens (knärot, VU, fridlyst, 2025); Dryocopus martius (spillkråka, LC, prio. fågel, 2025); Carbonicola anthracophila (kolflarnlav, NT, 2025); Cladonia parasitica (dvärgbägarlav, NT, 2025); Hydnellum aurantiacum (orange taggsvamp, NT, 2025); Hydnellum caeruleum (blå taggsvamp, NT, 2025); Hydnellum ferrugineum (dropptaggsvamp, NT, 2025); Phellinidium ferrugineofuscum (ullticka, NT, 2025); Sarcodon squamosus (motaggsvamp, NT, 2025); Tricholoma apium (lakritsmusseron, VU, 2025)";"Lycopodium clavatum (mattlummer, LC, fridlyst, 2025); Poecile montanus (talltita, NT, prio. fågel, 2025); Sparassis crispa (blomkålssvamp, LC, 2025); Tomicus minor (mindre märgborre, LC, 2025); Arthonia vinosa (rostfläck, LC, 2025); Climacocystis borealis (trådticka, LC, 2025); Hydnellum concrescens (zontaggsvamp, LC, 2024); Odontoschisma denudatum (kornknutmossa, LC, 2025); Peltis ferruginea (vanlig flatbagge, LC, 2025); Pyrola chlorantha (grönpyrola, LC, 2025); Hertelidea botryosa (vedskivlav, NT, 2025); Phellodon fuligineoalbus (talltaggsvamp, NT, 2025)";566246;6516546;16.14593;58.78381
119;3;"Bevaka; begär tillsyn om avverkning inte skett";A 11077-2025;NORRKÖPING;Avverkning tillåten: äldre anmälan;Mycket hög;147.6;2025-03-07;-506;2030-03-06;1.6;1.57410734000579;Föryngringsavverkning;Normal skog;FALSE;TRUE;"rödlistad/bilaga IV-fridlyst art inom området (6/8 §); prioriterad fågelart inom området (4 §); hotad art (CR/EN/VU) inom området; hög skog >= 20 m på 93 %";0;1;6;2;11;58;0;39.3;0.002;0.931;836;Glotternskogen;836;Glotternskogen;"Anguis fragilis (kopparödla, LC, fridlyst, 2026); Goodyera repens (knärot, VU, fridlyst, 2026); Caprimulgus europaeus (nattskärra, LC, prio. fågel, 2026); Dryocopus martius (spillkråka, LC, prio. fågel, 2026); Poecile montanus (talltita, NT, prio. fågel, 2026); Poecile palustris (entita, NT, prio. fågel, 2026); Prunella modularis (järnsparv, NT, prio. fågel, 2026); Chloris chloris (grönfink, VU, prio. fågel, 2026); Hydnellum ferrugineum (dropptaggsvamp, NT, 2026); Porodaedalea pini (tallticka, NT, 2026); Sarcodon squamosus (motaggsvamp, NT, 2025)";"Bufo bufo (vanlig padda, LC, fridlyst, 2026); Dactylorhiza maculata (fläcknycklar, LC, fridlyst, 2026); Natrix natrix (vanlig snok, LC, fridlyst, 2026); Platanthera chlorantha (grönvit nattviol, LC, fridlyst, 2026); Vipera berus (huggorm, LC, fridlyst, 2026); Zootoca vivipara (skogsödla, LC, fridlyst, 2026); Tetrao urogallus (tjäder, LC, prio. fågel, 2024); Haliaeetus albicilla (havsörn, LC, prio. fågel, 2026); Motacilla alba (sädesärla, NT, prio. fågel, 2026); Sturnus vulgaris (stare, VU, prio. fågel, 2026); Galium odoratum (myskmadra, LC, 2024); Adscita statices (ängsmetallvinge, NT, 2024)";567465;6509558;16.1649;58.72088
120;3;"Bevaka; begär tillsyn om avverkning inte skett";A 14619-2025;NORRKÖPING;Avverkning tillåten: äldre anmälan;Mycket hög;145;2025-03-26;-487;2030-03-25;6.4;7.0174914600075;Föryngringsavverkning;Normal skog;FALSE;TRUE;"rödlistad/bilaga IV-fridlyst art inom området (6/8 §); prioriterad fågelart inom området (4 §); hotad art (CR/EN/VU) inom området; hög skog >= 20 m på 92 %";0;1;1;1;6;25;0;36;0;0.921;3738;Glotternskogen;3738;Glotternskogen;"Lycopodium clavatum (mattlummer, LC, fridlyst, 2025); Goodyera repens (knärot, VU, fridlyst, 2025); Tetrao urogallus (tjäder, LC, prio. fågel, 2021); Herzogiella seligeri (stubbspretmossa, LC, 2021); Pyrola chlorantha (grönpyrola, LC, 2025); Crossocalyx hellerianus (vedtrappmossa, NT, 2021)";"Poecile montanus (talltita, NT, prio. fågel, 2020); Bryoria bicolor (broktagel, EN, 2025); Bazzania trilobata (stor revmossa, LC, 2025); Leucobryum glaucum (blåmossa, LC, 2025); Sarcodon squamosus (motaggsvamp, NT, 2025); Trichocolea tomentella (dunmossa, NT, 2021); Trifolium aureum (gullklöver, NT, 2013); Carbonicola anthracophila (kolflarnlav, NT, 2025); Hertelidea botryosa (vedskivlav, NT, 2025); Hypogymnia vittata (skuggblåslav, NT, 2025); Porodaedalea pini (tallticka, NT, 2025)";566269;6512891;16.14524;58.75099
121;3;"Bevaka; begär tillsyn om avverkning inte skett";A 45488-2025;NORRKÖPING;Avverkning tillåten: äldre anmälan;Mycket hög;145;2025-09-22;-307;2030-09-21;2.3;2.96646577500796;Föryngringsavverkning;Normal skog;FALSE;TRUE;"rödlistad/bilaga IV-fridlyst art inom området (6/8 §); prioriterad fågelart inom området (4 §); hotad art (CR/EN/VU) inom området; hög skog >= 20 m på 80 %";0;1;1;1;12;25;0;57.7;0.003;0.805;1105;Glotternskogen;143;Glotternskogen;"Natrix natrix (vanlig snok, LC, fridlyst, 2026); Goodyera repens (knärot, VU, fridlyst, 2026); Dryocopus martius (spillkråka, LC, prio. fågel, 2026); Phaeolus schweinitzii (grovticka, LC, 2025); Pyrola chlorantha (grönpyrola, LC, 2026); Sparassis crispa (blomkålssvamp, LC, 2025); Tomicus minor (mindre märgborre, LC, 2026); Cladonia parasitica (dvärgbägarlav, NT, 2025); Hertelidea botryosa (vedskivlav, NT, 2026); Phellinidium ferrugineofuscum (ullticka, NT, 2026); Porodaedalea pini (tallticka, NT, 2026); Sarcodon squamosus (motaggsvamp, NT, 2025)";Poecile montanus (talltita, NT, prio. fågel, 2026);568058;6506733;16.17428;58.69541
