rank_today;tier;action;Beteckn;Kommun;status;priority_class;score;Inkomdatum;days_left;valid_until;AnmaldHa;area_ha_geom;Avverktyp;Skogstyp;new_since_last_run;needs_survey;survey_reasons;annex4_inside;protected_plant_inside;priobird_inside;threatened_inside;n_key_species_inside;n_key_species_500;nyckelbiotop_share;hcvf_mean;noble_share;tall_share;natura2000_dist_m;natura2000_nearest;reserve_dist_m;reserve_nearest;species_inside;species_within_150;x_sweref;y_sweref;lon;lat
39;2;Nollbeslut föreligger: begär beslut, förbered överklagan till MMD;A 27925-2026;MOTALA;Avverkning tillåten: fristen passerad nyligen;Mycket hög;128.2;2026-06-18;-38;2031-06-17;2;2.24228278499171;Föryngringsavverkning;Normal skog;FALSE;TRUE;"art i bilaga IV inom 150 m (4 a §); rödlistad/bilaga IV-fridlyst art inom 150 m (6/8 §, buffertzon); prioriterad fågelart inom området (4 §); hög skog >= 20 m på 100 %";0;0;1;0;5;17;0;47.8;0;0.996;625;Lillsjökärret;2876;Bredsjömossen;"Tetrao urogallus (tjäder, LC, prio. fågel, 2026); Cacotemnus thomsoni (thomsons trägnagare, LC, 2026); Leucobryum glaucum (blåmossa, LC, 2026); Scolytus ratzeburgii (björksplintborre, LC, 2026); Hydnellum ferrugineum (dropptaggsvamp, NT, 2026)";"Rana arvalis (åkergroda, LC, bil. IV, fridlyst, 2026); Dactylorhiza maculata (fläcknycklar, LC, fridlyst, 2026); Lycopodium annotinum (revlummer, LC, fridlyst, 2026); Dryocopus martius (spillkråka, LC, prio. fågel, 2026); Poecile montanus (talltita, NT, prio. fågel, 2026); Chloris chloris (grönfink, VU, prio. fågel, 2026); Strix nebulosa (lappuggla, VU, prio. fågel, 2026); Pyrola chlorantha (grönpyrola, LC, 2026); Callidium aeneum (grönhjon, NT, 2026); Crossocalyx hellerianus (vedtrappmossa, NT, 2026)";512769;6512043;15.22065;58.74827
40;2;Nollbeslut föreligger: begär beslut, förbered överklagan till MMD;A 23127-2026;SÖDERKÖPING;Avverkning tillåten: fristen passerad nyligen;Mycket hög;126.9;2026-05-19;-68;2031-05-18;2.7;2.87298253000053;Föryngringsavverkning;Normal skog;FALSE;TRUE;"rödlistad/bilaga IV-fridlyst art inom området (6/8 §); prioriterad fågelart inom området (4 §); hotad art (CR/EN/VU) inom området; hög skog >= 20 m på 85 %";0;1;1;2;10;31;0;47.7;0;0.85;7495;Passdalsån;1026;Forsums gammelskog;"Goodyera repens (knärot, VU, fridlyst, 2026); Tetrao urogallus (tjäder, LC, prio. fågel, 2026); Leucobryum glaucum (blåmossa, LC, 2026); Phaeolus schweinitzii (grovticka, LC, 2026); Pyrola chlorantha (grönpyrola, LC, 2026); Cladonia parasitica (dvärgbägarlav, NT, 2026); Hertelidea botryosa (vedskivlav, NT, 2026); Hydnellum ferrugineum (dropptaggsvamp, NT, 2026); Sarcodon squamosus (motaggsvamp, NT, 2025); Hydnellum geogenium (gul taggsvamp, VU, 2017)";"Oxyporus corticola (barkticka, LC, 2026); Phellinidium ferrugineofuscum (ullticka, NT, 2026); Felipes leucopellaeus (kattfotslav, NT, 2026); Postia ceriflua (hängticka, NT, 2017)";590129;6468885;16.53999;58.35158
41;2;Nollbeslut föreligger: begär beslut, förbered överklagan till MMD;A 21374-2026;LINKÖPING;Avverkning tillåten: fristen passerad nyligen;Mycket hög;114.7;2026-05-03;-84;2031-05-02;3.7;3.66444776283652;Föryngringsavverkning;Normal skog;FALSE;TRUE;"allmän fridlyst art (t.ex. orkidé) inom 150 m, ej utlösande; prioriterad fågelart inom området (4 §); hotad art (CR/EN/VU) inom området; hög skog >= 20 m på 90 %";0;0;5;1;10;47;0;17.2;0;0.899;2137;Lera Kalkkärr;3878;Kärna mosse;"Hepatica nobilis (blåsippa, LC, fridlyst, 2026); Natrix natrix (vanlig snok, LC, fridlyst, 2018); Dryocopus martius (spillkråka, LC, prio. fågel, 2026); Grus grus (trana, LC, prio. fågel, 2024); Emberiza citrinella (gulsparv, NT, prio. fågel, 2026); Prunella modularis (järnsparv, NT, prio. fågel, 2023); Chloris chloris (grönfink, VU, prio. fågel, 2026); Daphne mezereum (tibast, LC, 2026); Sarcoscypha austriaca (scharlakansskål, LC, 2026); Sarcodon imbricatus (fjällig taggsvamp s.str., NT, 2022)";"Buteo lagopus (fjällvråk, LC, prio. fågel, 2023); Lanius collurio (törnskata, LC, prio. fågel, 2024); Poecile palustris (entita, NT, prio. fågel, 2024); Encoelia furfuracea (läderskål, LC, 2009); Chimaphila umbellata (ryl, VU, 2019)";528054;6478096;15.48056;58.44267
42;2;Nollbeslut föreligger: begär beslut, förbered överklagan till MMD;A 29305-2026;VALDEMARSVIK;Avverkning tillåten: fristen passerad nyligen;Mycket hög;109.9;2026-06-29;-27;2031-06-28;7.9;7.90141048146512;Föryngringsavverkning;Normal skog;FALSE;TRUE;"rödlistad/bilaga IV-fridlyst art inom området (6/8 §); prioriterad fågelart inom området (4 §); hotad art (CR/EN/VU) inom området";0;1;1;1;4;10;0;53.9;0.018;0.429;3759;Bokö;1353;Gryt;"Goodyera repens (knärot, VU, fridlyst, 2025); Motacilla alba (sädesärla, NT, prio. fågel, 2021); Hedera helix (murgröna, LC, 2025); Selinum carvifolia (krusfrö, NT, 2025)";Polygala vulgaris (jungfrulin, NT, 2022);607387;6446812;16.82451;58.14954
43;2;Nollbeslut föreligger: begär beslut, förbered överklagan till MMD;A 30317-2026;KINDA;Avverkning tillåten: fristen passerad nyligen;Mycket hög;93.3;2026-07-03;-23;2031-07-02;4.4;4.34622492999968;Föryngringsavverkning;Normal skog;FALSE;TRUE;"prioriterad fågelart inom området (4 §); hög skog >= 20 m på 71 %; Natura 2000 inom 457 m (Bråtberget)";0;0;2;0;7;13;0;46.8;0.039;0.71;457;Bråtberget;457;Bråtberget;"Dryocopus martius (spillkråka, LC, prio. fågel, 2026); Poecile montanus (talltita, NT, prio. fågel, 2026); Phaeolus schweinitzii (grovticka, LC, 2026); Pyrola chlorantha (grönpyrola, LC, 2026); Cladonia parasitica (dvärgbägarlav, NT, 2026); Fomitiporia robusta (ekticka, NT, 2026); Hertelidea botryosa (vedskivlav, NT, 2026)";"Antitrichia curtipendula (fällmossa, LC, 2026); Crossocalyx hellerianus (vedtrappmossa, NT, 2026); Urtica urens (etternässla, NT, 2016); Lynx lynx (lo, VU, 2026)";556071;6432555;15.94943;58.031
44;2;Nollbeslut föreligger: begär beslut, förbered överklagan till MMD;A 25900-2026;LINKÖPING;Avverkning tillåten: fristen passerad nyligen;Mycket hög;90.7;2026-06-05;-51;2031-06-04;3.8;3.67228615450109;Föryngringsavverkning;Normal skog;FALSE;TRUE;"rödlistad/bilaga IV-fridlyst art inom området (6/8 §); prioriterad fågelart inom 150 m (4 §); hög skog >= 20 m på 98 %";0;1;0;0;3;26;0;23.2;0.003;0.979;7482;Tolefors-Lagerlunda;9325;Solberga;"Epipactis helleborine (skogsknipprot, LC, fridlyst, 2025); Daphne mezereum (tibast, LC, 2012); Scorzonera humilis (svinrot, NT, 2024)";"Hepatica nobilis (blåsippa, LC, fridlyst, 2012); Lanius collurio (törnskata, LC, prio. fågel, 2026); Emberiza citrinella (gulsparv, NT, prio. fågel, 2026); Jynx torquilla (göktyta, NT, prio. fågel, 2026); Motacilla alba (sädesärla, NT, prio. fågel, 2026); Fraxinus excelsior (ask, EN, 2021); Ulmus glabra (skogsalm, EN, 2012); Clavulinopsis helvola (hagfingersvamp, LC, 2025); Hygrocybe coccinea (blodvaxing, LC, 2025); Botrychium lunaria (månlåsbräken, NT, 2026); Hygrocybe punicea (scharlakansvaxing, NT, 2025); Blitum bonus-henricus (lungrot, VU, 2026)";522638;6466823;15.38668;58.34174
45;2;Nollbeslut föreligger: begär beslut, förbered överklagan till MMD;A 23061-2026;SÖDERKÖPING;Avverkning tillåten: fristen passerad nyligen;Mycket hög;89.2;2026-05-19;-68;2031-05-18;3.5;4.16396322999526;Föryngringsavverkning;Normal skog;FALSE;TRUE;"rödlistad/bilaga IV-fridlyst art inom 150 m (6/8 §, buffertzon); prioriterad fågelart inom området (4 §)";0;0;1;0;8;30;0;54.1;0;0.45;7784;Passdalsån;563;Forsums gammelskog;"Tetrao urogallus (tjäder, LC, prio. fågel, 2026); Dicranum flagellare (flagellkvastmossa, LC, 2026); Leucobryum glaucum (blåmossa, LC, 2026); Meruliopsis taxicola (blodticka, LC, 2017); Pyrola chlorantha (grönpyrola, LC, 2026); Cladonia parasitica (dvärgbägarlav, NT, 2026); Hertelidea botryosa (vedskivlav, NT, 2026); Hydnellum ferrugineum (dropptaggsvamp, NT, 2026)";"Goodyera repens (knärot, VU, fridlyst, 2026); Tomicus minor (mindre märgborre, LC, 2026); Antitrichia curtipendula (fällmossa, LC, 2017); Herzogiella seligeri (stubbspretmossa, LC, 2026); Mnium stellare (blek stjärnmossa, LC, 2017); Odontoschisma denudatum (kornknutmossa, LC, 2026); Sarcodon squamosus (motaggsvamp, NT, 2017); Felipes leucopellaeus (kattfotslav, NT, 2026); Phellinidium ferrugineofuscum (ullticka, NT, 2026); Phellodon melaleucus (svartvit taggsvamp, NT, 2017); Postia ceriflua (hängticka, NT, 2017)";589745;6468649;16.53334;58.34954
46;2;Nollbeslut föreligger: begär beslut, förbered överklagan till MMD;A 25470-2026;BOXHOLM;Avverkning tillåten: fristen passerad nyligen;Mycket hög;85.8;2026-06-04;-52;2031-06-03;13.8;13.8242823998893;Föryngringsavverkning;Normal skog;FALSE;TRUE;"rödlistad/bilaga IV-fridlyst art inom 150 m (6/8 §, buffertzon); hög skog >= 20 m på 97 %; Natura 2000 inom 179 m (Pukehål)";0;0;0;0;4;49;0;57;0;0.972;179;Pukehål;159;Pukehål;"Zootoca vivipara (skogsödla, LC, fridlyst, 2022); Carbonicola anthracophila (kolflarnlav, NT, 2026); Crossocalyx hellerianus (vedtrappmossa, NT, 2026); Hertelidea botryosa (vedskivlav, NT, 2026)";"Goodyera repens (knärot, VU, fridlyst, 2026); Rhytidiadelphus loreus (västlig hakmossa, LC, 2026); Rosa spinosissima (pimpinellros, RE, 2015)";518777;6434357;15.31811;58.05033
47;2;Nollbeslut föreligger: begär beslut, förbered överklagan till MMD;A 29033-2026;NORRKÖPING;Avverkning tillåten: fristen passerad nyligen;Mycket hög;83.6;2026-06-26;-30;2031-06-25;2.4;2.55272115500307;Föryngringsavverkning;Normal skog;FALSE;TRUE;"art i bilaga IV inom 150 m (4 a §); rödlistad/bilaga IV-fridlyst art inom 150 m (6/8 §, buffertzon); hög skog >= 20 m på 91 %; Natura 2000 inom 54 m (Bärsjöskogen)";0;0;0;0;0;52;0;68.6;0.001;0.908;54;Bärsjöskogen;0;Brostugugölen;"";"Buxbaumia viridis (grön sköldmossa, LC, bil. IV, fridlyst, 2009); Goodyera repens (knärot, VU, fridlyst, 2025); Antitrichia curtipendula (fällmossa, LC, 2022); Nephroma arcticum (norrlandslav, LC, 2009); Oxyporus corticola (barkticka, LC, 2020); Crossocalyx hellerianus (vedtrappmossa, NT, 2024); Fuscocephaloziopsis catenulata (stubbtrådmossa, NT, 2009); Hypogymnia vittata (skuggblåslav, NT, 2017); Peltigera collina (grynig filtlav, NT, 2009); Phellinidium ferrugineofuscum (ullticka, NT, 2024); Phellopilus nigrolimitatus (gränsticka, VU, 2009); Skeletocutis kuehneri (kilporing, VU, 2009)";572103;6506703;16.24404;58.69449
48;2;Nollbeslut föreligger: begär beslut, förbered överklagan till MMD;A 31373-2026;NORRKÖPING;Avverkning tillåten: fristen passerad nyligen;Mycket hög;83.1;2026-07-10;-16;2031-07-09;6.1;6.08000238904161;Föryngringsavverkning;Normal skog;FALSE;TRUE;"allmän fridlyst art (t.ex. orkidé) inom 150 m, ej utlösande; prioriterad fågelart inom området (4 §); hög skog >= 20 m på 92 %";0;0;1;0;3;10;0;20.1;0;0.923;1376;Algutsbo;600;Getåravinen;"Lycopodium annotinum (revlummer, LC, fridlyst, 2026); Dryocopus martius (spillkråka, LC, prio. fågel, 2026); Leucobryum glaucum (blåmossa, LC, 2026)";"Grus grus (trana, LC, prio. fågel, 2021); Milvus milvus (röd glada, LC, prio. fågel, 2022); Hertelidea botryosa (vedskivlav, NT, 2024); Hydnellum ferrugineum (dropptaggsvamp, NT, 2026); Coronella austriaca (hasselsnok, VU, 2024)";575573;6505131;16.30338;58.67979
